Profil,Stok,ID,Panjang_mm,Kerf_mm
RHS50x100,98,1685762S1,260.7,3
RHS50x100,99,1685771S0,260.7,3
RHS50x100,99,1685771S1,260.7,3
RHS50x100,99,1685808S0,260.7,3
RHS50x100,99,1685808S1,260.7,3
RHS50x100,99,1685836S0,260.7,3
RHS50x100,99,1685836S1,260.7,3
RHS50x100,99,1685845S0,260.7,3
RHS50x100,99,1685845S1,260.7,3
RHS50x100,99,1685873S0,260.7,3
RHS50x100,99,1685873S1,260.7,3
RHS50x100,99,1685886S0,260.7,3
RHS50x100,99,1685886S1,260.7,3
RHS50x100,99,1685914S0,260.7,3
RHS50x100,99,1685914S1,260.7,3
RHS50x100,99,1685923S0,260.7,3
RHS50x100,99,1685923S1,260.7,3
RHS50x100,99,1685951S0,260.7,3
RHS50x100,99,1685951S1,260.7,3
RHS50x100,99,1685960S0,260.7,3
RHS50x100,99,1685960S1,260.7,3
RHS50x100,99,1685988S0,260.7,3
RHS50x100,99,1685988S1,260.7,3
RHS50x100,100,1685997S0,260.7,3
RHS50x100,100,1685997S1,260.7,3
RHS50x100,100,1686025S0,260.7,3
RHS50x100,100,1686025S1,260.7,3
RHS50x100,100,1686034S0,260.7,3
RHS50x100,100,1686034S1,260.7,3
RHS50x100,100,1686494S0,260.7,3
RHS50x100,100,1686494S1,260.7,3
RHS50x100,100,1686494S2,260.7,3
RHS50x100,100,1686494S3,260.7,3
RHS50x100,100,1686508S0,260.7,3
RHS50x100,100,1686508S1,260.7,3
RHS50x100,100,1686518S0,260.7,3
RHS50x100,100,1686518S1,260.7,3
RHS50x100,100,1686538S0,260.7,3
RHS50x100,100,1686538S1,260.7,3
RHS50x100,100,1686548S0,260.7,3
RHS50x100,100,1686548S1,260.7,3
RHS50x100,100,1686572S0,260.7,3
RHS50x100,100,1686572S1,260.7,3
RHS50x100,100,1686582S0,260.7,3
RHS50x100,100,1686582S1,260.7,3
RHS50x100,101,1686606S0,260.7,3
RHS50x100,101,1686606S1,260.7,3
RHS50x100,101,1686616S0,260.7,3
RHS50x100,101,1686616S1,260.7,3
RHS50x100,101,1686631S0,260.7,3
RHS50x100,101,1686631S1,260.7,3
