stok_acuan,id_potongan,panjang_model_mm,asal,profil_acuan,panjang_final_disetujui_mm,status
61,1690089,4649.0001,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
61,1690278,873.9999792,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
61,1685743S1,460.6,Usulan belum dimodelkan,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
62,1685475,4629.0000384,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
62,1690280,873.9999792,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
62,1685817S0,460.6,Usulan belum dimodelkan,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
63,1685481,4629.0000384,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
63,1690282,873.9999792,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
63,1685817S1,460.6,Usulan belum dimodelkan,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
64,1694637,2593.0000464,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
64,1694664,2593.0000464,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
64,1685854S0,460.6,Usulan belum dimodelkan,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
64,1685684S0,260.7,Usulan belum dimodelkan,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
65,1678295,2481.98776,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
