profil,stok,id,komponen,panjang_mm,status
RHS50x100,88,SC-L4-P10,I01,1646.0,studi - belum fabrikasi
RHS50x100,89,SC-R5-P10,I01,2146.0,studi - belum fabrikasi
RHS50x100,89,SC-R5-P11,I01,2146.0,studi - belum fabrikasi
RHS50x100,89,SC-L4-P11,I01,1646.0,studi - belum fabrikasi
RHS50x100,90,SC-L5-BX0,X06,2107.1803,studi - belum fabrikasi
RHS50x100,90,SC-L5-BX1,X06,2107.1803,studi - belum fabrikasi
RHS50x100,90,SC-R4-P00,I01,1646.0,studi - belum fabrikasi
RHS50x100,91,SC-R5-BX0,X06,2107.1803,studi - belum fabrikasi
RHS50x100,91,SC-R5-BX1,X06,2107.1803,studi - belum fabrikasi
RHS50x100,91,SC-R4-P01,I01,1646.0,studi - belum fabrikasi
RHS50x100,92,SC-L5-BY0,X06,2071.4,studi - belum fabrikasi
RHS50x100,92,SC-L5-BY1,X06,2071.4,studi - belum fabrikasi
RHS50x100,92,I4-P00,I01,1785,studi - belum fabrikasi
RHS50x100,93,SC-R5-BY0,X06,2071.4,studi - belum fabrikasi
RHS50x100,93,SC-R5-BY1,X06,2071.4,studi - belum fabrikasi
RHS50x100,93,I4-P01,I01,1785,studi - belum fabrikasi
RHS50x100,94,1678292,X01,1981.9937,studi - belum fabrikasi
RHS50x100,94,1678383,X01,1981.9937,studi - belum fabrikasi
RHS50x100,94,1678395,X01,1981.9937,studi - belum fabrikasi
RHS50x100,95,1678419,X01,1981.9937,studi - belum fabrikasi
RHS50x100,95,1678431,X01,1981.9937,studi - belum fabrikasi
RHS50x100,95,1678443,X01,1981.9937,studi - belum fabrikasi
RHS50x100,96,1678467,X01,1981.9937,studi - belum fabrikasi
RHS50x100,96,1678479,X01,1981.9937,studi - belum fabrikasi
RHS50x100,96,1678491,X01,1981.9937,studi - belum fabrikasi
RHS50x100,97,1682257,X01,1981.9937,studi - belum fabrikasi
RHS50x100,97,1682279,X01,1981.9937,studi - belum fabrikasi
RHS50x100,97,1682301,X01,1981.9937,studi - belum fabrikasi
RHS50x100,98,1690205,X01,1981.9937,studi - belum fabrikasi
RHS50x100,98,1690386,X06,1929.0,studi - belum fabrikasi
RHS50x100,98,1690396,X06,1929.0,studi - belum fabrikasi
RHS50x100,99,1690391,X06,1927.9999,studi - belum fabrikasi
RHS50x100,99,1690400,X06,1927.9999,studi - belum fabrikasi
RHS50x100,99,I4-P10,I01,1785,studi - belum fabrikasi
RHS50x100,99,SC-L1-BY0,X06,320.4653,studi - belum fabrikasi
RHS50x100,100,I4-P11,I01,1785,studi - belum fabrikasi
RHS50x100,100,SC-R4-P10,I01,1646.0,studi - belum fabrikasi
RHS50x100,100,SC-R4-P11,I01,1646.0,studi - belum fabrikasi
RHS50x100,100,1690264,B01,874.0,studi - belum fabrikasi
RHS50x100,101,SC-L4-BX0,X06,1625.7949,studi - belum fabrikasi
RHS50x100,101,SC-L4-BX1,X06,1625.7949,studi - belum fabrikasi
RHS50x100,101,SC-R4-BX0,X06,1625.7949,studi - belum fabrikasi
RHS50x100,101,1690266,B01,874.0,studi - belum fabrikasi
RHS50x100,101,SR-L-4-1-0,I02,166.67,studi - belum fabrikasi
